module_name,module_type,project_key,is_child_module,parent_module,child_detection_method,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,parent_enabled_runtime,safe_to_flag_for_deletion,module_info_path
diff,contrib,diff,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/diff/diff.info.yml
drupal_system_cross_profile_test,other,,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/profiles/testing/modules/drupal_system_cross_profile_test/drupal_system_cross_profile_test.info.yml
drupal_system_listing_compatible_test,other,,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/profiles/testing/modules/drupal_system_listing_compatible_test/drupal_system_listing_compatible_test.info.yml
dynamic_page_cache,core,dynamic_page_cache,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/dynamic_page_cache/dynamic_page_cache.info.yml
editor,core,editor,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/editor/editor.info.yml
embed,contrib,embed,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/embed/embed.info.yml
embedded_content,contrib,embedded_content,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/embedded_content/embedded_content.info.yml
entity_embed,contrib,entity_embed,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/entity_embed/entity_embed.info.yml
entity_reference_revisions,contrib,entity_reference_revisions,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/entity_reference_revisions/entity_reference_revisions.info.yml
externalauth,contrib,externalauth,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/externalauth/externalauth.info.yml
faqfield,contrib,faqfield,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/faqfield/faqfield.info.yml
feeds,contrib,feeds,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/feeds/feeds.info.yml
feeds_log,contrib,feeds,yes,feeds,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/feeds/modules/log/feeds_log.info.yml
field,core,field,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/field/field.info.yml
field_defaults,contrib,field_defaults,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/field_defaults/field_defaults.info.yml
field_group,contrib,field_group,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/field_group/field_group.info.yml
field_group_accordion,contrib,field_group,yes,field_group,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/field_group/modules/field_group_accordion/field_group_accordion.info.yml
field_group_migrate,contrib,field_group,yes,field_group,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/field_group/contrib/field_group_migrate/field_group_migrate.info.yml
field_layout,core,field_layout,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/field_layout/field_layout.info.yml
field_permissions,contrib,field_permissions,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/field_permissions/field_permissions.info.yml
field_ui,core,field_ui,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/field_ui/field_ui.info.yml
file,core,file,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/file/file.info.yml
filter,core,filter,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/filter/filter.info.yml
forum,core,forum,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/forum/forum.info.yml
help,core,help,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/help/help.info.yml
help_topics,core,help_topics,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/help_topics/help_topics.info.yml
hierarchy_manager,contrib,hierarchy_manager,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/hierarchy_manager/hierarchy_manager.info.yml
history,core,history,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/history/history.info.yml
image,core,image,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/image/image.info.yml
image_style_warmer,contrib,image_style_warmer,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/image_style_warmer/image_style_warmer.info.yml
inline_form_errors,core,inline_form_errors,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/inline_form_errors/inline_form_errors.info.yml
jquery_ui,contrib,jquery_ui,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/jquery_ui/jquery_ui.info.yml
jquery_ui_accordion,contrib,jquery_ui_accordion,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/jquery_ui_accordion/jquery_ui_accordion.info.yml
js_cookie,contrib,js_cookie,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/js_cookie/js_cookie.info.yml
jsonapi,core,jsonapi,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/jsonapi/jsonapi.info.yml
language,core,language,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/language/language.info.yml
language_switcher_extended,contrib,language_switcher_extended,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/language_switcher_extended/language_switcher_extended.info.yml
layout_builder,core,layout_builder,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/layout_builder/layout_builder.info.yml
layout_builder_expose_all_field_blocks,core,layout_builder,yes,layout_builder,path_under_canonical_project,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/layout_builder/modules/layout_builder_expose_all_field_blocks/layout_builder_expose_all_field_blocks.info.yml
layout_discovery,core,layout_discovery,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/layout_discovery/layout_discovery.info.yml
link,core,link,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/link/link.info.yml
locale,core,locale,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/locale/locale.info.yml
log_stdout,contrib,log_stdout,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/log_stdout/log_stdout.info.yml
meaofd,contrib,meaofd,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/modules/contrib/meaofd/meaofd.info.yml
media,core,media,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/media/media.info.yml
media_library,core,media_library,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/media_library/media_library.info.yml
menu_block,contrib,menu_block,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/menu_block/menu_block.info.yml
menu_breadcrumb,contrib,menu_breadcrumb,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/menu_breadcrumb/menu_breadcrumb.info.yml
menu_item_fields,contrib,menu_item_fields,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/menu_item_fields/menu_item_fields.info.yml
menu_item_fields_ui,contrib,menu_item_fields,yes,menu_item_fields,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/contrib/menu_item_fields/modules/menu_item_fields_ui/menu_item_fields_ui.info.yml
menu_link_content,core,menu_link_content,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/menu_link_content/menu_link_content.info.yml
menu_ui,core,menu_ui,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/menu_ui/menu_ui.info.yml
migrate,core,migrate,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/migrate/migrate.info.yml
migrate_drupal,core,migrate_drupal,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/migrate_drupal/migrate_drupal.info.yml
migrate_drupal_ui,core,migrate_drupal_ui,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/migrate_drupal_ui/migrate_drupal_ui.info.yml
minimal,n/a,n/a,no,,,no,no,yes,no,no,
mysql,core,mysql,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/mysql/mysql.info.yml
