module_name,module_type,project_key,is_child_module,parent_module,child_detection_method,present_in_codebase,enabled_runtime_drush,enabled_in_core_extension,parent_enabled_runtime,safe_to_flag_for_deletion,module_info_path
usagov_benefit_finder,custom,usagov_benefit_finder,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_benefit_finder/usagov_benefit_finder.info.yml
usagov_benefit_finder_api,custom,usagov_benefit_finder,yes,usagov_benefit_finder,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/custom/usagov_benefit_finder/modules/usagov_benefit_finder_api/usagov_benefit_finder_api.info.yml
usagov_benefit_finder_content,custom,usagov_benefit_finder,yes,usagov_benefit_finder,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/custom/usagov_benefit_finder/modules/usagov_benefit_finder_content/usagov_benefit_finder_content.info.yml
usagov_benefit_finder_page,custom,usagov_benefit_finder,yes,usagov_benefit_finder,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/custom/usagov_benefit_finder/modules/usagov_benefit_finder_app/usagov_benefit_finder_page/usagov_benefit_finder_page.info.yml
usagov_blog_date_menu,custom,usagov_blog_date_menu,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_blog_date_menu/usagov_blog_date_menu.info.yml
usagov_ckeditor5_source_editing_fixup,custom,usagov_ckeditor5_source_editing_fixup,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_ckeditor5_source_editing_fixup/usagov_ckeditor5_source_editing_fixup.info.yml
usagov_directories,custom,usagov_directories,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_directories/usagov_directories.info.yml
usagov_extra_functions,custom,usagov_extra_functions,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_extra_functions/usagov_extra_functions.info.yml
usagov_login,custom,usagov_login,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_login/usagov_login.info.yml
usagov_menus,custom,usagov_menus,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_menus/usagov_menus.info.yml
usagov_redirect,custom,usagov_redirect,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_redirect/usagov_redirect.info.yml
usagov_sitemap,custom,usagov_sitemap,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_sitemap/usagov_sitemap.info.yml
usagov_ssg_postprocessing,custom,usagov_ssg_postprocessing,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_ssg_postprocessing/usagov_ssg_postprocessing.info.yml
usagov_top_navigation_menu,custom,usagov_top_navigation_menu,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_top_navigation_menu/usagov_top_navigation_menu.info.yml
usagov_unpub_es,custom,usagov_unpub_es,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/modules/custom/usagov_unpub_es/usagov_unpub_es.info.yml
usagov_uswds_paragraph_components_mods,custom,usagov_uswds_paragraph_components_mods,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_uswds_paragraph_components_mods/usagov_uswds_paragraph_components_mods.info.yml
usagov_wizard,custom,usagov_wizard,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/custom/usagov_wizard/usagov_wizard.info.yml
user,core,user,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/user/user.info.yml
uswds_ckeditor_integration,contrib,uswds_ckeditor_integration,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/uswds_ckeditor_integration/uswds_ckeditor_integration.info.yml
uswds_ckeditor_integration_embed,contrib,uswds_ckeditor_integration,yes,uswds_ckeditor_integration,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_ckeditor_integration/modules/uswds_ckeditor_integration_embed/uswds_ckeditor_integration_embed.info.yml
uswds_paragraph_components,contrib,uswds_paragraph_components,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/uswds_paragraph_components.info.yml
uswds_paragraph_components_accordions,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_accordions/uswds_paragraph_components_accordions.info.yml
uswds_paragraph_components_alerts,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_alerts/uswds_paragraph_components_alerts.info.yml
uswds_paragraph_components_breakpoints,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_breakpoints/uswds_paragraph_components_breakpoints.info.yml
uswds_paragraph_components_cards,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,yes,yes,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_cards/uswds_paragraph_components_cards.info.yml
uswds_paragraph_components_columns,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_columns/uswds_paragraph_components_columns.info.yml
uswds_paragraph_components_modal,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_modal/uswds_paragraph_components_modal.info.yml
uswds_paragraph_components_process_list,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_process_list/uswds_paragraph_components_process_list.info.yml
uswds_paragraph_components_step_indicator,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_step_indicator/uswds_paragraph_components_step_indicator.info.yml
uswds_paragraph_components_summary_box,contrib,uswds_paragraph_components,yes,uswds_paragraph_components,path_under_canonical_project,yes,no,no,yes,no,/srv/usagov-2021/web/modules/contrib/uswds_paragraph_components/modules/uswds_paragraph_components_summary_box/uswds_paragraph_components_summary_box.info.yml
views,core,views,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/views/views.info.yml
views_data_export,contrib,views_data_export,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/views_data_export/views_data_export.info.yml
views_menu_children_filter,contrib,views_menu_children_filter,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/views_menu_children_filter/views_menu_children_filter.info.yml
views_ui,core,views_ui,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/views_ui/views_ui.info.yml
viewsreference,contrib,viewsreference,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/modules/contrib/viewsreference/viewsreference.info.yml
workflows,core,workflows,no,,,yes,yes,yes,no,no,/srv/usagov-2021/web/core/modules/workflows/workflows.info.yml
workspaces,core,workspaces,no,,,yes,no,no,no,yes,/srv/usagov-2021/web/core/modules/workspaces/workspaces.info.yml
